Date,Open,High,Low,Close,Volume,Market Cap
15-06-2020,0.191616885273,0.193751744195,0.183816114099,0.193073630719,1315332448.46328,8545014832.17575
14-06-2020,0.193178699061,0.193667455991,0.191066787813,0.191616885273,1023497501.80632,8452767513.63519
13-06-2020,0.193989491303,0.1942054356,0.189932226813,0.193106090694,1050423847.91121,8518460613.62387
12-06-2020,0.190164691002,0.196276884579,0.188858219712,0.193943060616,1157151094.36072,8555381744.85138
11-06-2020,0.2029159161,0.203700905565,0.189520402229,0.190180143058,1354031835.75565,8389388715.34652
10-06-2020,0.20197592341,0.203485217274,0.200590425322,0.202938178294,1106635421.05214,8952182049.69715
09-06-2020,0.203808957292,0.204555472003,0.200991836613,0.202012696369,1108186466.68548,8911356401.48274
08-06-2020,0.203425500786,0.204177595182,0.201666929888,0.203771160051,1042709460.86407,8988927251.58783
07-06-2020,0.203179826133,0.204674248394,0.199672119497,0.2034492854,1141964765.00615,8974728442.38812
06-06-2020,0.204208090385,0.205002323715,0.202431947591,0.203142205892,1048611012.39951,8961182289.15831
05-06-2020,0.205044155866,0.206744132091,0.202068941916,0.204091960958,1264429378.70456,9003078694.8762
04-06-2020,0.203718712027,0.206493926707,0.201864051492,0.204981596199,1368430496.03194,9042323043.5848
03-06-2020,0.202901334181,0.204478181902,0.201270346593,0.203663381355,1335828090.02544,8984172825.80269
02-06-2020,0.210181885469,0.214335297202,0.200696210064,0.202764320952,1850078103.1087,8944512706.30724
01-06-2020,0.202834159863,0.210731043017,0.202112083181,0.210249192897,1702904267.05695,9274691762.97167
31-05-2020,0.206236392211,0.211519487219,0.201748660495,0.202905550853,1737139256.46737,8950742760.18493
30-05-2020,0.198349035254,0.206473945511,0.196925489791,0.206219635661,1683149543.52374,9096936496.51763
29-05-2020,0.20066940652,0.202827276907,0.197128840277,0.198348212955,1477357235.01491,8749705582.91326
28-05-2020,0.197923844181,0.200902092882,0.195621300495,0.200594747436,1615654544.31156,8848806628.48241
27-05-2020,0.193919720079,0.19882118549,0.193764415766,0.197857235417,1535112976.75238,8728047162.89867
26-05-2020,0.197273422596,0.197611052451,0.193404091291,0.193974566348,1585691776.76534,8556771552.57925
