t,o
2016-02-05,"{'c': 2.523322576694688, 'h': 2.598547226506089, 'l': 2.455834633979755, 'o': 2.546835783380388}"
2016-02-06,"{'c': 2.523505489289529, 'h': 2.564734851852606, 'l': 2.457534091111744, 'o': 2.527959648774001}"
2016-02-07,"{'c': 2.974746063871451, 'h': 3.063018025733543, 'l': 2.516337031842235, 'o': 2.529016693824503}"
2016-02-08,"{'c': 3.155982503824561, 'h': 3.26993689907199, 'l': 2.876767705617704, 'o': 2.978775152460376}"
2016-02-09,"{'c': 4.024197177617309, 'h': 4.024197177617309, 'l': 3.150149595974096, 'o': 3.158303758933346}"
2016-02-10,"{'c': 4.435410256958598, 'h': 4.85030985529329, 'l': 3.724776779593974, 'o': 3.979730558189464}"
2016-02-11,"{'c': 6.061098394039962, 'h': 6.43168400541435, 'l': 4.266718784702707, 'o': 4.380979904324843}"
2016-02-12,"{'c': 5.589237909962914, 'h': 6.663593921168496, 'l': 5.183069465199586, 'o': 6.037470857289309}"
2016-02-13,"{'c': 5.395889441104567, 'h': 5.77885007024212, 'l': 4.17455124383831, 'o': 5.70762393512695}"
2016-02-14,"{'c': 5.269033114817769, 'h': 5.472001247491599, 'l': 4.464971802108523, 'o': 5.452789314841778}"
2016-02-15,"{'c': 5.287231067852225, 'h': 5.872394739200452, 'l': 4.979776951185949, 'o': 5.335476777803033}"
2016-02-16,"{'c': 4.320471953289193, 'h': 5.43882981946037, 'l': 3.9648848482053003, 'o': 5.303901103451323}"
2016-02-17,"{'c': 3.757025177394966, 'h': 4.79132280908957, 'l': 3.50519963962647, 'o': 4.317646272230808}"
2016-02-18,"{'c': 4.393861659582324, 'h': 4.843433749547505, 'l': 3.360579604460315, 'o': 3.764901103511937}"
2016-02-19,"{'c': 4.714530070097653, 'h': 4.7905209539809634, 'l': 4.28755763905178, 'o': 4.369717233044926}"
2016-02-20,"{'c': 4.336591602720741, 'h': 4.746377378176103, 'l': 4.108066019795602, 'o': 4.687136827758471}"
2016-02-21,"{'c': 4.644085134799437, 'h': 4.720130815154412, 'l': 4.209603292572805, 'o': 4.33313070818444}"
2016-02-22,"{'c': 5.662682088649438, 'h': 5.682304064624628, 'l': 4.642564121255418, 'o': 4.642564121255418}"
2016-02-23,"{'c': 5.592879762274616, 'h': 5.9542801716861415, 'l': 5.36301731878407, 'o': 5.717194084807615}"
2016-02-24,"{'c': 6.233300787069853, 'h': 6.250380071183534, 'l': 5.493079219276719, 'o': 5.590093818620368}"
2016-02-25,"{'c': 6.072273526693668, 'h': 6.653120881262242, 'l': 5.346748054622237, 'o': 6.187687620245492}"
