t,o
2014-06-02,"{'c': 662.0855888839999, 'h': 674.2849237759999, 'l': 616.241457688, 'o': 628.8122850459999}"
2014-06-03,"{'c': 669.938043516, 'h': 679.780297186, 'l': 653.2425125039999, 'o': 664.4830217800001}"
2014-06-04,"{'c': 642.357380702, 'h': 672.9026971259999, 'l': 624.29615105, 'o': 670.4144187280001}"
2014-06-05,"{'c': 661.48, 'h': 668.04529155, 'l': 639.8903039960001, 'o': 640.61607581}"
2014-06-06,"{'c': 649.0938278240001, 'h': 662.0615514599999, 'l': 649.0938278240001, 'o': 660.2636913460001}"
2014-06-07,"{'c': 657.122319458, 'h': 657.122319458, 'l': 639.142000748, 'o': 647.811993498}"
2014-06-08,"{'c': 657.9504511279999, 'h': 660.2814189200001, 'l': 652.02, 'o': 657.076}"
2014-06-09,"{'c': 648.3175507240001, 'h': 658.4798139999999, 'l': 641.9619115520001, 'o': 657.5806300840001}"
2014-06-10,"{'c': 648.549935972, 'h': 657.099242474, 'l': 643.570210642, 'o': 648.826626292}"
2014-06-11,"{'c': 622.5026906339999, 'h': 651.984, 'l': 619.77906377, 'o': 647.63}"
2014-06-12,"{'c': 571.006454714, 'h': 630.2311643419999, 'l': 553.078831362, 'o': 622.583953772}"
2014-06-13,"{'c': 591.983880914, 'h': 610.968107784, 'l': 568.148721418, 'o': 571.6224151179999}"
2014-06-14,"{'c': 568.1956108239999, 'h': 592.424872502, 'l': 540.37927285, 'o': 592.424872502}"
2014-06-15,"{'c': 590.40657709, 'h': 591.568055638, 'l': 552.2957531239999, 'o': 567.180218172}"
2014-06-16,"{'c': 586.980456142, 'h': 609.373871518, 'l': 584.394741958, 'o': 591.55645425}"
2014-06-17,"{'c': 606.443230048, 'h': 608.250972174, 'l': 583.116724102, 'o': 586.50303656}"
2014-06-18,"{'c': 607, 'h': 615.4901727099999, 'l': 600.5891070719999, 'o': 605.6605579039999}"
2014-06-19,"{'c': 593.11789317, 'h': 609.79, 'l': 593.11789317, 'o': 607.984236536}"
2014-06-20,"{'c': 588.950932812, 'h': 597.804257044, 'l': 581.7305651419999, 'o': 591.170424498}"
2014-06-21,"{'c': 589.036790108, 'h': 594.142522956, 'l': 581.0023311699999, 'o': 589.8043102260001}"
2014-06-22,"{'c': 600.0404249320001, 'h': 604.958968992, 'l': 589.4056775, 'o': 591.960825548}"
2014-06-23,"{'c': 588.193980926, 'h': 601, 'l': 582.040955326, 'o': 600.35195937}"
2014-06-24,"{'c': 573.3281355759999, 'h': 588.241884328, 'l': 573.3281355759999, 'o': 588.2313890620001}"
2014-06-25,"{'c': 560.4947890579999, 'h': 578.3494616119999, 'l': 557.76639441, 'o': 575.071628986}"
2014-06-26,"{'c': 579.622750878, 'h': 579.770338962, 'l': 558.823108972, 'o': 559.4798903880001}"
2014-06-27,"{'c': 599.929629306, 'h': 599.929629306, 'l': 575.7069772540001, 'o': 580.09}"
2014-06-28,"{'c': 590.5955207659999, 'h': 603.7394330239999, 'l': 590.5955207659999, 'o': 599.104664616}"
2014-06-29,"{'c': 599.89, 'h': 601.213849322, 'l': 589.7159716479999, 'o': 589.7159716479999}"
2014-06-30,"{'c': 638.68650652, 'h': 646.4998483659999, 'l': 596.37, 'o': 599.827216794}"
2014-07-01,"{'c': 639.157792748, 'h': 658.203095624, 'l': 638.025772964, 'o': 642.2976731379999}"
2014-07-02,"{'c': 650.071232986, 'h': 656.784018618, 'l': 638.0148716719999, 'o': 640.011402964}"
2014-07-03,"{'c': 646.6670635520001, 'h': 652.315688884, 'l': 639.819757566, 'o': 650.3723962759999}"
2014-07-04,"{'c': 627.258726514, 'h': 650.44, 'l': 622.615811234, 'o': 647.5739824720001}"
2014-07-05,"{'c': 630.747663504, 'h': 632.949673178, 'l': 624.381530432, 'o': 628.81}"
2014-07-06,"{'c': 631.4238304700001, 'h': 637.691850122, 'l': 625.9532225639999, 'o': 630.5401322399999}"
2014-07-07,"{'c': 622.774120722, 'h': 635.852833808, 'l': 613.6078345779999, 'o': 629.5608795539999}"
2014-07-08,"{'c': 624.2982841780001, 'h': 626.22, 'l': 618.235165428, 'o': 622.09}"
2014-07-09,"{'c': 621.8734082320001, 'h': 626.8166363820001, 'l': 618.89, 'o': 625.069642982}"
2014-07-10,"{'c': 616.775924134, 'h': 623.819217, 'l': 608.20311857, 'o': 621.33450413}"
2014-07-11,"{'c': 634.129679252, 'h': 634.967066342, 'l': 614.52, 'o': 616.8654414619999}"
2014-07-12,"{'c': 636.46644725, 'h': 639.712422728, 'l': 629.10381156, 'o': 634.200062216}"
2014-07-13,"{'c': 630.5449909639999, 'h': 638.419165218, 'l': 626.37359558, 'o': 637.8979999999999}"
2014-07-14,"{'c': 619.701223542, 'h': 631.893335174, 'l': 617.038505198, 'o': 629.439864222}"
2014-07-15,"{'c': 623.5592835140001, 'h': 624.987080052, 'l': 618.8850798999999, 'o': 621.183694096}"
2014-07-16,"{'c': 615.9106732139999, 'h': 624.5051087539999, 'l': 612.81703034, 'o': 623.29000729}"
2014-07-17,"{'c': 623.7643585440001, 'h': 628.688185908, 'l': 611.195723308, 'o': 615.024492288}"
2014-07-18,"{'c': 631.42881345, 'h': 632.67, 'l': 619.0821075380001, 'o': 624.518}"
2014-07-19,"{'c': 629.726, 'h': 632.279841648, 'l': 625.95, 'o': 631.8076620520001}"
2014-07-20,"{'c': 625.846605424, 'h': 630, 'l': 620.4294579560001, 'o': 630}"
2014-07-21,"{'c': 621.830136434, 'h': 627.0069327819999, 'l': 616.4354299639999, 'o': 626.8838761119998}"
2014-07-22,"{'c': 619.567647252, 'h': 624.797737164, 'l': 618.96, 'o': 621.584959816}"
2014-07-23,"{'c': 619.926984708, 'h': 622.9789442139999, 'l': 617.44175636, 'o': 618.9466732}"
2014-07-24,"{'c': 603.820880232, 'h': 621.98, 'l': 592.31465355, 'o': 620.991779894}"
2014-07-25,"{'c': 602.8812411219999, 'h': 608.874000712, 'l': 594.0445525060001, 'o': 603.97481455}"
2014-07-26,"{'c': 595.95700884, 'h': 602.99, 'l': 590.033011936, 'o': 602.880695656}"
2014-07-27,"{'c': 591.9597686699999, 'h': 602.488909126, 'l': 590.161896714, 'o': 596.239043766}"
2014-07-28,"{'c': 589.3779206380001, 'h': 594.787109912, 'l': 571.673865124, 'o': 593.334307096}"
2014-07-29,"{'c': 585.1045461199999, 'h': 591.25984989, 'l': 578.5402992100001, 'o': 587.31322849}"
2014-07-30,"{'c': 563.3470577280001, 'h': 585.909739612, 'l': 559.149733002, 'o': 584.549477938}"
2014-07-31,"{'c': 582.037732788, 'h': 588.9192623360001, 'l': 557.015234524, 'o': 562.2359036380001}"
2014-08-01,"{'c': 598.2, 'h': 606.28319076, 'l': 582.2527022020001, 'o': 584.18605967}"
2014-08-02,"{'c': 589.306, 'h': 598.0373905260001, 'l': 584.998018886, 'o': 597.859348026}"
2014-08-03,"{'c': 586.489508506, 'h': 590.453749162, 'l': 578.4892704279999, 'o': 589.2512554820001}"
2014-08-04,"{'c': 588.479331236, 'h': 595.163510112, 'l': 583.596870398, 'o': 588.956064218}"
2014-08-05,"{'c': 580.340990122, 'h': 589, 'l': 579.0345307519999, 'o': 588.5}"
2014-08-06,"{'c': 582.416533308, 'h': 586.240142422, 'l': 576.9554551240001, 'o': 581.734}"
2014-08-07,"{'c': 584.81249954, 'h': 591.525158694, 'l': 579.150267204, 'o': 582.135265272}"
2014-08-08,"{'c': 588.78812401, 'h': 594.9991319200001, 'l': 584.788, 'o': 586.38576296}"
2014-08-09,"{'c': 589.242055856, 'h': 590.590772226, 'l': 585.362, 'o': 588.143315888}"
2014-08-10,"{'c': 590.785817632, 'h': 596.983632, 'l': 586.02351404, 'o': 589.498}"
2014-08-11,"{'c': 573.9565111500001, 'h': 590.9899028359999, 'l': 572.2371018, 'o': 590.985904648}"
2014-08-12,"{'c': 567.831212848, 'h': 574.148, 'l': 562.153561882, 'o': 574.097447746}"
2014-08-13,"{'c': 549.790349374, 'h': 571.726504792, 'l': 526.0761359640001, 'o': 569.2683862800001}"
2014-08-14,"{'c': 507.38701780400004, 'h': 549.803900188, 'l': 498.440555918, 'o': 549.803900188}"
2014-08-15,"{'c': 501.237741262, 'h': 520.5644686339999, 'l': 485.942948976, 'o': 508.662303162}"
2014-08-16,"{'c': 522.748127092, 'h': 528.2065772960001, 'l': 485.52609167, 'o': 501.470259202}"
2014-08-17,"{'c': 498.22564087800004, 'h': 524.167805662, 'l': 486.232692622, 'o': 522.527034112}"
2014-08-18,"{'c': 473.215708716, 'h': 509.014642722, 'l': 447.93962909600003, 'o': 498.13061507000003}"
2014-08-19,"{'c': 491.00693467, 'h': 493.416956808, 'l': 458.969435942, 'o': 473.80726116799997}"
2014-08-20,"{'c': 518.0240521100001, 'h': 526.1352459359999, 'l': 467.58952315799996, 'o': 491.44246263}"
2014-08-21,"{'c': 520.3913133, 'h': 533.6132805300001, 'l': 511.47702003600006, 'o': 516.5974835899999}"
2014-08-22,"{'c': 514.794876152, 'h': 525.593730072, 'l': 502.61085105599994, 'o': 520.176775616}"
2014-08-23,"{'c': 496.190259712, 'h': 514.654118056, 'l': 489.76227774999995, 'o': 514.654118056}"
2014-08-24,"{'c': 507.644099696, 'h': 513.7346731159998, 'l': 496.463122336, 'o': 498.197508604}"
2014-08-25,"{'c': 503.1851232, 'h': 508.30846592, 'l': 497.25003153399996, 'o': 507.475108752}"
2014-08-26,"{'c': 513.621734654, 'h': 515.1915376320001, 'l': 502.872852366, 'o': 502.88383432599994}"
